ad_date,campaign_id,campaign_name,objective,spend,impressions,clicks,purchases,purchase_value,platform,channel
2016-09-04,META_CAMP_1,Prospecting - Broad,conversions,4.086996600226401,0,0,0,13.833510014646608,Instagram,Meta
2016-09-04,META_CAMP_2,Prospecting - Lookalike,conversions,6.908194443627198,0,0,0,16.77696787358336,Facebook,Meta
2016-09-04,META_CAMP_3,Retargeting - Website,conversions,4.598349146344641,0,0,0,15.65960755098629,Instagram,Meta
2016-09-04,META_CAMP_4,Retargeting - Cart,conversions,4.366542146432311,0,0,0,14.978446698831087,Facebook,Meta
2016-09-05,META_CAMP_1,Prospecting - Broad,conversions,2.15354188120164,0,0,0,7.006903468185348,Instagram,Meta
2016-09-05,META_CAMP_2,Prospecting - Lookalike,conversions,2.0453223330858266,0,0,0,7.006835576116326,Facebook,Meta
2016-09-05,META_CAMP_3,Retargeting - Website,conversions,1.894270303502715,0,0,0,6.731240847350439,Instagram,Meta
2016-09-05,META_CAMP_4,Retargeting - Cart,conversions,2.830446254310568,0,0,0,9.005819306319998,Facebook,Meta
2016-09-13,META_CAMP_1,Prospecting - Broad,conversions,0.0,0,0,0,0.0,Instagram,Meta
2016-09-13,META_CAMP_2,Prospecting - Lookalike,conversions,0.0,0,0,0,0.0,Facebook,Meta
2016-09-13,META_CAMP_3,Retargeting - Website,conversions,0.0,0,0,0,0.0,Instagram,Meta
2016-09-13,META_CAMP_4,Retargeting - Cart,conversions,0.0,0,0,0,0.0,Facebook,Meta
2016-09-15,META_CAMP_1,Prospecting - Broad,conversions,5.972946692849636,0,0,0,17.03108329684607,Instagram,Meta
2016-09-15,META_CAMP_2,Prospecting - Lookalike,conversions,5.939880193376834,0,0,0,13.695081330671456,Facebook,Meta
2016-09-15,META_CAMP_3,Retargeting - Website,conversions,4.9058626611257665,0,0,0,13.5309228673324,Instagram,Meta
2016-09-15,META_CAMP_4,Retargeting - Cart,conversions,5.694581819660781,0,0,0,13.539420411884011,Facebook,Meta
2016-10-02,META_CAMP_1,Prospecting - Broad,conversions,3.0959557194965384,0,0,0,10.814719256694845,Instagram,Meta
2016-10-02,META_CAMP_2,Prospecting - Lookalike,conversions,3.153372952964149,0,0,0,11.718882558800084,Facebook,Meta
2016-10-02,META_CAMP_3,Retargeting - Website,conversions,4.896273878466454,0,0,0,11.338332562687336,Instagram,Meta
2016-10-02,META_CAMP_4,Retargeting - Cart,conversions,2.8864887904526024,0,0,0,10.761362282097021,Facebook,Meta
2016-10-03,META_CAMP_1,Prospecting - Broad,conversions,21.64930060141076,2167,31,1,65.72992994119038,Instagram,Meta
2016-10-03,META_CAMP_2,Prospecting - Lookalike,conversions,20.59785554962541,3470,46,1,55.18793910856711,Facebook,Meta
